id,percentChange1Month,percentChange1Year,country,name,longName,price,priceChange1Day,percentChange1Day,priceDate
SMI:IND,1.4357177961207204,0.4825746316059706,CH,SWISS MARKET INDEX,Swiss Market Index,11310.61,26.43,0.23420000076293945,2/16/2024
NSEASI:IND,-2.452607904037706,-28.85487,KE,Nairobi All Share,Nairobi Securities Exchange Ltd All Share Index,91.08,0.13,0.1429000049829483,2/16/2024
KNSMIDX:IND,0.3092137794626705,-9.465044,KE,Nairobi SE 20 Share,Nairobi Securities Exchange Ltd 20 Index,1521.44,3.52,0.23190000653266907,2/16/2024
KWSEPM:IND,0.966407450944941,-2.344381,KW,KWSE Premier Mkt,Boursa Kuwait Premier Market Price Return Index,8039.43,-1.52,-0.01889999955892563,2/15/2024
KWSEMM:IND,0.8949684267096595,8.23243,KW,KWSE Main Mkt,Boursa Kuwait Main Market Price Return Index,6007.69,16.72,0.2791000008583069,2/15/2024
BELEX15:IND,4.158492192195606,5.684167,RS,BELEX15 INDEX,Belgrade Stock Exchange BELEX15 Index,918.48,0.7,0.0763000026345253,2/14/2024
BELEXLIN:IND,3.1273919609425116,13.78852,RS,BELEXline Index,Belgrade Stock Exchange BELEXline Index,1994.03,-0.53,-0.026599999517202377,2/14/2024
OSEBX:IND,-1.094670620730668,2.8084815655271678,NO,OSE BENCHMARK INDEX,Oslo Stock Exchange Benchmark Index,1264.02,11.78,0.9406999945640564,2/16/2024
OSEAX:IND,-1.435796590993283,4.349903034451288,NO,OSE ALL SHARE INDEX,Oslo Stock Exchange All Share Index,1463.57,12.29,0.8468000292778015,2/16/2024
JOSMGNFF:IND,-0.01780057690051721,-7.462837458344252,JO,AMMAN SE GENERAL INDEX,Amman Stock Exchange General Index,2471.39,-0.03,-0.0012000000569969416,2/15/2024
SBITOP:IND,6.955726421529112,15.72265,SI,Slovenian Blue Chip Idx,Ljubljana Stock Exchange Slovenian Blue-Chip SBITOP Index,1379.9,5.03,0.3659000098705292,2/16/2024
WIG20:IND,7.73043877305298,27.526542818110443,PL,WIG 20,WIG20,2371.05,25.3,1.0785000324249268,2/16/2024
WIG:IND,7.184319664358104,32.563844326675344,PL,WSE WIG INDEX,Warsaw Stock Exchange WIG Total Return Index,80147.0,813.78,1.0257999897003174,2/16/2024
WIG30:IND,7.675566138843477,28.70478055946625,PL,WIG30,WIG30,2943.71,30.36,1.042099952697754,2/16/2024
PASISI:IND,-1.6643794644428087,-14.55783,PS,PSE Al Quds,Palestine Stock Exchange Al Quds Index,558.92,0.11,0.019700000062584877,2/15/2024
BUX:IND,1.8409166677376712,44.14681069859636,HU,BUDAPEST STOCK EXCH INDX,Budapest Stock Exchange Budapest Stock Index,65769.75,108.95,0.16590000689029694,2/16/2024
CHTX:IND,-0.9424194148940741,45.74964414636404,HU,HUNGARIAN TRADED INDEX,OTOB Hungarian Traded Index CHTX,5826.24,21.25,0.366100013256073,2/16/2024
NGXINDX:IND,11.830867802321443,96.49449134885845,NG,NGX ALL SHR,NGX All Share Index,105722.8,1622.8,1.558899998664856,2/16/2024
IBEX:IND,0.28503900266780646,5.929497482052927,ES,IBEX 35 INDEX,IBEX 35 Index,9886.4,-40.9,-0.41200000047683716,2/16/2024
MADX:IND,0.31681701759980674,5.083668257782273,ES,SPAIN MA  MADRID INDEX,Madrid Stock Exchange General Index,975.25,-3.94,-0.4023999869823456,2/16/2024
